slug,product,brand,store,price_aud,matched_url,availability,match_type,checked_at
naturehike-cloud-up-2-tent,Naturehike Cloud-Up 2 Tent,Naturehike,eBay AU,,,,,
naturehike-cloud-up-2-tent,Naturehike Cloud-Up 2 Tent,Naturehike,Amazon AU,,,,,
naturehike-cloud-up-2-tent,Naturehike Cloud-Up 2 Tent,Naturehike,BCF,,,,,2026-08-19T16:46:32Z
naturehike-cloud-up-2-tent,Naturehike Cloud-Up 2 Tent,Naturehike,Anaconda,,,,,2026-08-12T22:01:53Z
naturehike-cloud-up-2-tent,Naturehike Cloud-Up 2 Tent,Naturehike,Snowys,269.9,https://www.snowys.com.au/cloud-up-2-person-lightweight-backpacking-tent-light-greyred-mat,,,2026-07-31T00:07:52Z
naturehike-cloud-up-2-tent,Naturehike Cloud-Up 2 Tent,Naturehike,Tentworld,,,,,2026-08-19T19:19:25Z
naturehike-cloud-up-2-tent,Naturehike Cloud-Up 2 Tent,Naturehike,Wild Earth,,,,,2026-08-19T21:01:17Z
teton-sports-mountain-ultra-tent,Teton Sports Mountain Ultra Tent,Teton Sports,eBay AU,,,,,
teton-sports-mountain-ultra-tent,Teton Sports Mountain Ultra Tent,Teton Sports,Amazon AU,,,,,
teton-sports-mountain-ultra-tent,Teton Sports Mountain Ultra Tent,Teton Sports,BCF,,,,,2026-08-19T16:46:32Z
teton-sports-mountain-ultra-tent,Teton Sports Mountain Ultra Tent,Teton Sports,Anaconda,,,,,2026-08-12T22:01:53Z
teton-sports-mountain-ultra-tent,Teton Sports Mountain Ultra Tent,Teton Sports,Snowys,,,,,2026-08-19T15:49:09Z
teton-sports-mountain-ultra-tent,Teton Sports Mountain Ultra Tent,Teton Sports,Tentworld,,,,,2026-08-19T19:19:25Z
teton-sports-mountain-ultra-tent,Teton Sports Mountain Ultra Tent,Teton Sports,Wild Earth,,,,,2026-08-19T21:01:17Z
oztrail-fast-frame-lumos-10-person-tent,OZtrail Fast Frame Lumos 10 Person Tent,OZtrail,Amazon AU,,,,,
oztrail-fast-frame-lumos-10-person-tent,OZtrail Fast Frame Lumos 10 Person Tent,OZtrail,eBay AU,,,,,
oztrail-fast-frame-lumos-10-person-tent,OZtrail Fast Frame Lumos 10 Person Tent,OZtrail,BCF,,,,,2026-08-19T16:46:32Z
oztrail-fast-frame-lumos-10-person-tent,OZtrail Fast Frame Lumos 10 Person Tent,OZtrail,Anaconda,,,,,2026-08-13T21:58:56Z
coleman-skydome-4-person-tent,Coleman Skydome 4 Person Tent,Coleman,Amazon AU,,,,,
coleman-skydome-4-person-tent,Coleman Skydome 4 Person Tent,Coleman,eBay AU,,,,,
coleman-skydome-4-person-tent,Coleman Skydome 4 Person Tent,Coleman,BCF,,,,,2026-08-19T16:46:32Z
coleman-skydome-4-person-tent,Coleman Skydome 4 Person Tent,Coleman,Anaconda,,,,,2026-08-13T21:58:56Z
sea-to-summit-telos-tr3-tent,Sea to Summit Telos TR3 Tent,Sea to Summit,Amazon AU,,,,,
sea-to-summit-telos-tr3-tent,Sea to Summit Telos TR3 Tent,Sea to Summit,eBay AU,,,,,
sea-to-summit-telos-tr3-tent,Sea to Summit Telos TR3 Tent,Sea to Summit,BCF,,,,,2026-08-19T16:46:32Z
sea-to-summit-telos-tr3-tent,Sea to Summit Telos TR3 Tent,Sea to Summit,Anaconda,,,,,2026-08-13T21:58:56Z
snowys-tourer-4-person-canvas-tent,Snowys Tourer 4 Person Canvas Tent,Snowys,Amazon AU,,,,,
snowys-tourer-4-person-canvas-tent,Snowys Tourer 4 Person Canvas Tent,Snowys,eBay AU,,,,,
snowys-tourer-4-person-canvas-tent,Snowys Tourer 4 Person Canvas Tent,Snowys,BCF,,,,,2026-08-19T16:46:32Z
snowys-tourer-4-person-canvas-tent,Snowys Tourer 4 Person Canvas Tent,Snowys,Anaconda,,,,,2026-08-13T21:58:56Z
blackwolf-turbo-lite-plus-300-tent,BlackWolf Turbo Lite Plus 300 Tent,BlackWolf,Amazon AU,,,,,
blackwolf-turbo-lite-plus-300-tent,BlackWolf Turbo Lite Plus 300 Tent,BlackWolf,eBay AU,,,,,
blackwolf-turbo-lite-plus-300-tent,BlackWolf Turbo Lite Plus 300 Tent,BlackWolf,BCF,,,,,2026-08-19T16:46:32Z
blackwolf-turbo-lite-plus-300-tent,BlackWolf Turbo Lite Plus 300 Tent,BlackWolf,Anaconda,,,,,2026-08-13T21:58:56Z
coleman-instant-up-6p-lighted-northstar-darkroom-tent,Coleman Instant Up 6P Lighted Northstar DarkRoom Tent,Coleman,Amazon AU,,,,,
coleman-instant-up-6p-lighted-northstar-darkroom-tent,Coleman Instant Up 6P Lighted Northstar DarkRoom Tent,Coleman,eBay AU,,,,,
coleman-instant-up-6p-lighted-northstar-darkroom-tent,Coleman Instant Up 6P Lighted Northstar DarkRoom Tent,Coleman,BCF,,,,,2026-08-19T16:46:32Z
coleman-instant-up-6p-lighted-northstar-darkroom-tent,Coleman Instant Up 6P Lighted Northstar DarkRoom Tent,Coleman,Anaconda,,,,,2026-08-13T21:58:56Z
darche-dusk-to-dawn-1400-swag,Darche Dusk to Dawn 1400 Swag,Darche,Amazon AU,,,,,
darche-dusk-to-dawn-1400-swag,Darche Dusk to Dawn 1400 Swag,Darche,eBay AU,,,,,
darche-dusk-to-dawn-1400-swag,Darche Dusk to Dawn 1400 Swag,Darche,BCF,,,,,2026-08-19T16:46:32Z
darche-dusk-to-dawn-1400-swag,Darche Dusk to Dawn 1400 Swag,Darche,Anaconda,,,,,2026-08-13T21:58:56Z
zempire-aero-txl-pro-air-tent,Zempire Aero TXL Pro Air Tent,Zempire,Amazon AU,,,,,
zempire-aero-txl-pro-air-tent,Zempire Aero TXL Pro Air Tent,Zempire,eBay AU,,,,,
zempire-aero-txl-pro-air-tent,Zempire Aero TXL Pro Air Tent,Zempire,BCF,,,,,2026-08-19T16:46:32Z
zempire-aero-txl-pro-air-tent,Zempire Aero TXL Pro Air Tent,Zempire,Anaconda,,,,,2026-08-13T21:58:56Z
coleman-instant-up-swagger-1-3-person-tent,"Instant up Swagger 1, 3 Person Tent",Coleman,eBay AU,,,,,
coleman-instant-up-swagger-1-3-person-tent,"Instant up Swagger 1, 3 Person Tent",Coleman,Amazon AU,,,,,
coleman-instant-up-swagger-1-3-person-tent,"Instant up Swagger 1, 3 Person Tent",Coleman,BCF,,,,,2026-08-19T16:46:32Z
coleman-instant-up-swagger-1-3-person-tent,"Instant up Swagger 1, 3 Person Tent",Coleman,Anaconda,,,,,2026-08-13T21:58:56Z
coleman-instant-up-swagger-1-3-person-tent,"Instant up Swagger 1, 3 Person Tent",Coleman,Snowys,,,,,2026-08-19T15:49:09Z
coleman-instant-up-swagger-1-3-person-tent,"Instant up Swagger 1, 3 Person Tent",Coleman,Tentworld,,,,,2026-08-19T19:19:25Z
coleman-instant-up-swagger-1-3-person-tent,"Instant up Swagger 1, 3 Person Tent",Coleman,Wild Earth,,,,,2026-08-19T21:01:17Z
coleman-instant-up-swagger-1-3-person-tent-2,"Instant up Swagger 1, 3 Person Tent",Coleman,eBay AU,,,,,
coleman-instant-up-swagger-1-3-person-tent-2,"Instant up Swagger 1, 3 Person Tent",Coleman,Amazon AU,,,,,
coleman-instant-up-swagger-1-3-person-tent-2,"Instant up Swagger 1, 3 Person Tent",Coleman,BCF,,,,,2026-08-19T16:46:32Z
coleman-instant-up-swagger-1-3-person-tent-2,"Instant up Swagger 1, 3 Person Tent",Coleman,Anaconda,,,,,2026-08-13T21:58:56Z
coleman-instant-up-swagger-1-3-person-tent-2,"Instant up Swagger 1, 3 Person Tent",Coleman,Snowys,,,,,2026-08-19T15:49:09Z
coleman-instant-up-swagger-1-3-person-tent-2,"Instant up Swagger 1, 3 Person Tent",Coleman,Tentworld,223.99,https://www.tentworld.com.au/buy-sale/coleman-3-person-swagger-instant-up-tent,,,2026-08-19T00:15:09Z
coleman-instant-up-swagger-1-3-person-tent-2,"Instant up Swagger 1, 3 Person Tent",Coleman,Wild Earth,,,,,2026-08-19T21:01:17Z
coleman-instant-up-swagger-1-3-person-tent-3,"Instant up Swagger 1, 3 Person Tent",Coleman,eBay AU,,,,,
coleman-instant-up-swagger-1-3-person-tent-3,"Instant up Swagger 1, 3 Person Tent",Coleman,Amazon AU,,,,,
coleman-instant-up-swagger-1-3-person-tent-3,"Instant up Swagger 1, 3 Person Tent",Coleman,BCF,,,,,2026-08-19T16:46:32Z
coleman-instant-up-swagger-1-3-person-tent-3,"Instant up Swagger 1, 3 Person Tent",Coleman,Anaconda,,,,,2026-08-13T21:58:56Z
coleman-instant-up-swagger-1-3-person-tent-3,"Instant up Swagger 1, 3 Person Tent",Coleman,Snowys,,,,,2026-08-19T15:49:09Z
coleman-instant-up-swagger-1-3-person-tent-3,"Instant up Swagger 1, 3 Person Tent",Coleman,Tentworld,223.99,https://www.tentworld.com.au/buy-sale/coleman-3-person-swagger-instant-up-tent,,,2026-08-13T21:58:56Z
coleman-instant-up-swagger-1-3-person-tent-3,"Instant up Swagger 1, 3 Person Tent",Coleman,Wild Earth,,,,,2026-08-19T21:01:17Z
coleman-instant-up-swagger-1-3-person-tent-4,"Instant up Swagger 1, 3 Person Tent",Coleman,eBay AU,,,,,
coleman-instant-up-swagger-1-3-person-tent-4,"Instant up Swagger 1, 3 Person Tent",Coleman,Amazon AU,,,,,
coleman-instant-up-swagger-1-3-person-tent-4,"Instant up Swagger 1, 3 Person Tent",Coleman,BCF,,,,,2026-08-19T16:46:32Z
coleman-instant-up-swagger-1-3-person-tent-4,"Instant up Swagger 1, 3 Person Tent",Coleman,Anaconda,,,,,2026-08-13T21:58:56Z
coleman-instant-up-swagger-1-3-person-tent-4,"Instant up Swagger 1, 3 Person Tent",Coleman,Snowys,,,,,2026-08-19T15:49:09Z
coleman-instant-up-swagger-1-3-person-tent-4,"Instant up Swagger 1, 3 Person Tent",Coleman,Tentworld,223.99,https://www.tentworld.com.au/buy-sale/coleman-3-person-swagger-instant-up-tent,,,2026-08-19T00:15:09Z
coleman-instant-up-swagger-1-3-person-tent-4,"Instant up Swagger 1, 3 Person Tent",Coleman,Wild Earth,,,,,2026-08-19T21:01:17Z
blackwolf-blackwolf-mantis-2-tent-ultralight,Blackwolf Mantis 2 Tent,Blackwolf,eBay AU,,,,,
blackwolf-blackwolf-mantis-2-tent-ultralight,Blackwolf Mantis 2 Tent,Blackwolf,Amazon AU,,,,,
blackwolf-blackwolf-mantis-2-tent-ultralight,Blackwolf Mantis 2 Tent,Blackwolf,BCF,,,,,2026-08-19T16:46:32Z
blackwolf-blackwolf-mantis-2-tent-ultralight,Blackwolf Mantis 2 Tent,Blackwolf,Anaconda,,,,,2026-08-13T21:58:56Z
blackwolf-blackwolf-mantis-2-tent-ultralight,Blackwolf Mantis 2 Tent,Blackwolf,Snowys,399.9,https://www.snowys.com.au/mantis-ultralight-2-hiking-tent-orange,,,2026-08-03T15:01:28Z
blackwolf-blackwolf-mantis-2-tent-ultralight,Blackwolf Mantis 2 Tent,Blackwolf,Tentworld,337.49,https://www.tentworld.com.au/buy-sale/blackwolf-mantis-2-ul-ultralight-hiking-tent-orange,,,2026-08-19T00:15:09Z
blackwolf-blackwolf-mantis-2-tent-ultralight,Blackwolf Mantis 2 Tent,Blackwolf,Wild Earth,,,,,2026-08-19T21:01:17Z
blackwolf-blackwolf-mantis-ultralight-1-hiking-tent,Blackwolf Mantis Ultralight 1 Hiking Tent,Blackwolf,eBay AU,,,,,
blackwolf-blackwolf-mantis-ultralight-1-hiking-tent,Blackwolf Mantis Ultralight 1 Hiking Tent,Blackwolf,Amazon AU,,,,,
blackwolf-blackwolf-mantis-ultralight-1-hiking-tent,Blackwolf Mantis Ultralight 1 Hiking Tent,Blackwolf,BCF,,,,,2026-08-19T16:46:32Z
blackwolf-blackwolf-mantis-ultralight-1-hiking-tent,Blackwolf Mantis Ultralight 1 Hiking Tent,Blackwolf,Anaconda,,,,,2026-08-13T21:58:56Z
blackwolf-blackwolf-mantis-ultralight-1-hiking-tent,Blackwolf Mantis Ultralight 1 Hiking Tent,Blackwolf,Snowys,319.9,https://www.snowys.com.au/mantis-ultralight-1-hiking-tent?c=Orange,,,2026-08-03T15:01:28Z
blackwolf-blackwolf-mantis-ultralight-1-hiking-tent,Blackwolf Mantis Ultralight 1 Hiking Tent,Blackwolf,Tentworld,,,,,2026-08-19T19:19:25Z
blackwolf-blackwolf-mantis-ultralight-1-hiking-tent,Blackwolf Mantis Ultralight 1 Hiking Tent,Blackwolf,Wild Earth,,,,,2026-08-19T21:01:17Z
blackwolf-blackwolf-grasshopper-ul-2-hiking-tent,Blackwolf Grasshopper UL 2 Hiking Tent,Blackwolf,eBay AU,,,,,
blackwolf-blackwolf-grasshopper-ul-2-hiking-tent,Blackwolf Grasshopper UL 2 Hiking Tent,Blackwolf,Amazon AU,,,,,
blackwolf-blackwolf-grasshopper-ul-2-hiking-tent,Blackwolf Grasshopper UL 2 Hiking Tent,Blackwolf,BCF,,,,,2026-08-19T16:46:32Z
blackwolf-blackwolf-grasshopper-ul-2-hiking-tent,Blackwolf Grasshopper UL 2 Hiking Tent,Blackwolf,Anaconda,,,,,2026-08-13T21:58:56Z
blackwolf-blackwolf-grasshopper-ul-2-hiking-tent,Blackwolf Grasshopper UL 2 Hiking Tent,Blackwolf,Snowys,,,,,2026-08-19T15:49:09Z
blackwolf-blackwolf-grasshopper-ul-2-hiking-tent,Blackwolf Grasshopper UL 2 Hiking Tent,Blackwolf,Tentworld,,,,,2026-08-19T19:19:25Z
blackwolf-blackwolf-grasshopper-ul-2-hiking-tent,Blackwolf Grasshopper UL 2 Hiking Tent,Blackwolf,Wild Earth,,,,,2026-08-19T21:01:17Z
blackwolf-blackwolf-cicada-hiking-tent,Blackwolf Cicada Hiking Tent,Blackwolf,eBay AU,,,,,
blackwolf-blackwolf-cicada-hiking-tent,Blackwolf Cicada Hiking Tent,Blackwolf,Amazon AU,,,,,
blackwolf-blackwolf-cicada-hiking-tent,Blackwolf Cicada Hiking Tent,Blackwolf,BCF,,,,,2026-08-19T16:46:32Z
blackwolf-blackwolf-cicada-hiking-tent,Blackwolf Cicada Hiking Tent,Blackwolf,Anaconda,,,,,2026-08-13T21:58:56Z
blackwolf-blackwolf-cicada-hiking-tent,Blackwolf Cicada Hiking Tent,Blackwolf,Snowys,219.9,https://www.snowys.com.au/cicada-hiking-tent-2p-flame,,,2026-08-03T15:01:28Z
blackwolf-blackwolf-cicada-hiking-tent,Blackwolf Cicada Hiking Tent,Blackwolf,Tentworld,,,,,2026-08-19T19:19:25Z
blackwolf-blackwolf-cicada-hiking-tent,Blackwolf Cicada Hiking Tent,Blackwolf,Wild Earth,,,,,2026-08-19T21:01:17Z
darche-adventure-kings-roof-top-camping-tent-with-annex-and-tub-rack-low-profile,Adventure Kings Roof Top Camping Tent With Annex And Tub Rack Low Profile,Darche,eBay AU,,,,,
darche-adventure-kings-roof-top-camping-tent-with-annex-and-tub-rack-low-profile,Adventure Kings Roof Top Camping Tent With Annex And Tub Rack Low Profile,Darche,Amazon AU,,,,,
darche-adventure-kings-roof-top-camping-tent-with-annex-and-tub-rack-low-profile,Adventure Kings Roof Top Camping Tent With Annex And Tub Rack Low Profile,Darche,BCF,,,,,2026-08-19T16:46:32Z
darche-adventure-kings-roof-top-camping-tent-with-annex-and-tub-rack-low-profile,Adventure Kings Roof Top Camping Tent With Annex And Tub Rack Low Profile,Darche,Anaconda,,,,,2026-08-13T21:58:56Z
darche-adventure-kings-roof-top-camping-tent-with-annex-and-tub-rack-low-profile,Adventure Kings Roof Top Camping Tent With Annex And Tub Rack Low Profile,Darche,Snowys,,,,,2026-08-19T15:49:09Z
darche-adventure-kings-roof-top-camping-tent-with-annex-and-tub-rack-low-profile,Adventure Kings Roof Top Camping Tent With Annex And Tub Rack Low Profile,Darche,Tentworld,,,,,2026-08-19T19:19:25Z
darche-adventure-kings-roof-top-camping-tent-with-annex-and-tub-rack-low-profile,Adventure Kings Roof Top Camping Tent With Annex And Tub Rack Low Profile,Darche,Wild Earth,,,,,2026-08-19T21:01:17Z
darche-adventure-kings-roof-top-camping-tent-with-annex-and-tub-rack-low-profile-2,Adventure Kings Roof Top Camping Tent With Annex And Tub Rack Low Profile,Darche,eBay AU,,,,,
darche-adventure-kings-roof-top-camping-tent-with-annex-and-tub-rack-low-profile-2,Adventure Kings Roof Top Camping Tent With Annex And Tub Rack Low Profile,Darche,Amazon AU,,,,,
darche-adventure-kings-roof-top-camping-tent-with-annex-and-tub-rack-low-profile-2,Adventure Kings Roof Top Camping Tent With Annex And Tub Rack Low Profile,Darche,BCF,,,,,2026-08-19T16:46:32Z
darche-adventure-kings-roof-top-camping-tent-with-annex-and-tub-rack-low-profile-2,Adventure Kings Roof Top Camping Tent With Annex And Tub Rack Low Profile,Darche,Anaconda,,,,,2026-08-13T21:58:56Z
darche-adventure-kings-roof-top-camping-tent-with-annex-and-tub-rack-low-profile-2,Adventure Kings Roof Top Camping Tent With Annex And Tub Rack Low Profile,Darche,Snowys,,,,,2026-08-19T15:49:09Z
darche-adventure-kings-roof-top-camping-tent-with-annex-and-tub-rack-low-profile-2,Adventure Kings Roof Top Camping Tent With Annex And Tub Rack Low Profile,Darche,Tentworld,,,,,2026-08-19T19:19:25Z
